"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"28/11/2025 00:00:00 - 28/11/2025 00:15:00","BZN|NL","Without Sequence","69.52","",""
"28/11/2025 00:15:00 - 28/11/2025 00:30:00","BZN|NL","Without Sequence","63.97","",""
"28/11/2025 00:30:00 - 28/11/2025 00:45:00","BZN|NL","Without Sequence","53.72","",""
"28/11/2025 00:45:00 - 28/11/2025 01:00:00","BZN|NL","Without Sequence","49.21","",""
"28/11/2025 01:00:00 - 28/11/2025 01:15:00","BZN|NL","Without Sequence","65.85","",""
"28/11/2025 01:15:00 - 28/11/2025 01:30:00","BZN|NL","Without Sequence","53.47","",""
"28/11/2025 01:30:00 - 28/11/2025 01:45:00","BZN|NL","Without Sequence","51.34","",""
"28/11/2025 01:45:00 - 28/11/2025 02:00:00","BZN|NL","Without Sequence","48.58","",""
"28/11/2025 02:00:00 - 28/11/2025 02:15:00","BZN|NL","Without Sequence","53.63","",""
"28/11/2025 02:15:00 - 28/11/2025 02:30:00","BZN|NL","Without Sequence","52.73","",""
"28/11/2025 02:30:00 - 28/11/2025 02:45:00","BZN|NL","Without Sequence","51.55","",""
"28/11/2025 02:45:00 - 28/11/2025 03:00:00","BZN|NL","Without Sequence","49.99","",""
"28/11/2025 03:00:00 - 28/11/2025 03:15:00","BZN|NL","Without Sequence","45.98","",""
"28/11/2025 03:15:00 - 28/11/2025 03:30:00","BZN|NL","Without Sequence","46.22","",""
"28/11/2025 03:30:00 - 28/11/2025 03:45:00","BZN|NL","Without Sequence","45.03","",""
"28/11/2025 03:45:00 - 28/11/2025 04:00:00","BZN|NL","Without Sequence","45.98","",""
"28/11/2025 04:00:00 - 28/11/2025 04:15:00","BZN|NL","Without Sequence","50.83","",""
"28/11/2025 04:15:00 - 28/11/2025 04:30:00","BZN|NL","Without Sequence","51.07","",""
"28/11/2025 04:30:00 - 28/11/2025 04:45:00","BZN|NL","Without Sequence","52.47","",""
"28/11/2025 04:45:00 - 28/11/2025 05:00:00","BZN|NL","Without Sequence","58.75","",""
"28/11/2025 05:00:00 - 28/11/2025 05:15:00","BZN|NL","Without Sequence","48.37","",""
"28/11/2025 05:15:00 - 28/11/2025 05:30:00","BZN|NL","Without Sequence","53.32","",""
"28/11/2025 05:30:00 - 28/11/2025 05:45:00","BZN|NL","Without Sequence","56.21","",""
"28/11/2025 05:45:00 - 28/11/2025 06:00:00","BZN|NL","Without Sequence","74.53","",""
"28/11/2025 06:00:00 - 28/11/2025 06:15:00","BZN|NL","Without Sequence","61.09","",""
"28/11/2025 06:15:00 - 28/11/2025 06:30:00","BZN|NL","Without Sequence","74.89","",""
"28/11/2025 06:30:00 - 28/11/2025 06:45:00","BZN|NL","Without Sequence","83.01","",""
"28/11/2025 06:45:00 - 28/11/2025 07:00:00","BZN|NL","Without Sequence","95.76","",""
"28/11/2025 07:00:00 - 28/11/2025 07:15:00","BZN|NL","Without Sequence","73.79","",""
"28/11/2025 07:15:00 - 28/11/2025 07:30:00","BZN|NL","Without Sequence","82.55","",""
"28/11/2025 07:30:00 - 28/11/2025 07:45:00","BZN|NL","Without Sequence","89.50","",""
"28/11/2025 07:45:00 - 28/11/2025 08:00:00","BZN|NL","Without Sequence","80.63","",""
"28/11/2025 08:00:00 - 28/11/2025 08:15:00","BZN|NL","Without Sequence","98.97","",""
"28/11/2025 08:15:00 - 28/11/2025 08:30:00","BZN|NL","Without Sequence","94.81","",""
"28/11/2025 08:30:00 - 28/11/2025 08:45:00","BZN|NL","Without Sequence","97.25","",""
"28/11/2025 08:45:00 - 28/11/2025 09:00:00","BZN|NL","Without Sequence","98.78","",""
"28/11/2025 09:00:00 - 28/11/2025 09:15:00","BZN|NL","Without Sequence","115.85","",""
"28/11/2025 09:15:00 - 28/11/2025 09:30:00","BZN|NL","Without Sequence","103.32","",""
"28/11/2025 09:30:00 - 28/11/2025 09:45:00","BZN|NL","Without Sequence","100.46","",""
"28/11/2025 09:45:00 - 28/11/2025 10:00:00","BZN|NL","Without Sequence","95.56","",""
"28/11/2025 10:00:00 - 28/11/2025 10:15:00","BZN|NL","Without Sequence","102.49","",""
"28/11/2025 10:15:00 - 28/11/2025 10:30:00","BZN|NL","Without Sequence","95.50","",""
"28/11/2025 10:30:00 - 28/11/2025 10:45:00","BZN|NL","Without Sequence","95.69","",""
"28/11/2025 10:45:00 - 28/11/2025 11:00:00","BZN|NL","Without Sequence","93.96","",""
"28/11/2025 11:00:00 - 28/11/2025 11:15:00","BZN|NL","Without Sequence","100.51","",""
"28/11/2025 11:15:00 - 28/11/2025 11:30:00","BZN|NL","Without Sequence","96.01","",""
"28/11/2025 11:30:00 - 28/11/2025 11:45:00","BZN|NL","Without Sequence","92.05","",""
"28/11/2025 11:45:00 - 28/11/2025 12:00:00","BZN|NL","Without Sequence","90.42","",""
"28/11/2025 12:00:00 - 28/11/2025 12:15:00","BZN|NL","Without Sequence","93.11","",""
"28/11/2025 12:15:00 - 28/11/2025 12:30:00","BZN|NL","Without Sequence","92.45","",""
"28/11/2025 12:30:00 - 28/11/2025 12:45:00","BZN|NL","Without Sequence","99.76","",""
"28/11/2025 12:45:00 - 28/11/2025 13:00:00","BZN|NL","Without Sequence","99.85","",""
"28/11/2025 13:00:00 - 28/11/2025 13:15:00","BZN|NL","Without Sequence","95.08","",""
"28/11/2025 13:15:00 - 28/11/2025 13:30:00","BZN|NL","Without Sequence","96.85","",""
"28/11/2025 13:30:00 - 28/11/2025 13:45:00","BZN|NL","Without Sequence","97.38","",""
"28/11/2025 13:45:00 - 28/11/2025 14:00:00","BZN|NL","Without Sequence","95.90","",""
"28/11/2025 14:00:00 - 28/11/2025 14:15:00","BZN|NL","Without Sequence","81.02","",""
"28/11/2025 14:15:00 - 28/11/2025 14:30:00","BZN|NL","Without Sequence","77.32","",""
"28/11/2025 14:30:00 - 28/11/2025 14:45:00","BZN|NL","Without Sequence","76.66","",""
"28/11/2025 14:45:00 - 28/11/2025 15:00:00","BZN|NL","Without Sequence","77.00","",""
"28/11/2025 15:00:00 - 28/11/2025 15:15:00","BZN|NL","Without Sequence","89.90","",""
"28/11/2025 15:15:00 - 28/11/2025 15:30:00","BZN|NL","Without Sequence","99.22","",""
"28/11/2025 15:30:00 - 28/11/2025 15:45:00","BZN|NL","Without Sequence","111.80","",""
"28/11/2025 15:45:00 - 28/11/2025 16:00:00","BZN|NL","Without Sequence","100.85","",""
"28/11/2025 16:00:00 - 28/11/2025 16:15:00","BZN|NL","Without Sequence","86.60","",""
"28/11/2025 16:15:00 - 28/11/2025 16:30:00","BZN|NL","Without Sequence","92.92","",""
"28/11/2025 16:30:00 - 28/11/2025 16:45:00","BZN|NL","Without Sequence","95.61","",""
"28/11/2025 16:45:00 - 28/11/2025 17:00:00","BZN|NL","Without Sequence","101.38","",""
"28/11/2025 17:00:00 - 28/11/2025 17:15:00","BZN|NL","Without Sequence","91.58","",""
"28/11/2025 17:15:00 - 28/11/2025 17:30:00","BZN|NL","Without Sequence","96.23","",""
"28/11/2025 17:30:00 - 28/11/2025 17:45:00","BZN|NL","Without Sequence","95.80","",""
"28/11/2025 17:45:00 - 28/11/2025 18:00:00","BZN|NL","Without Sequence","96.00","",""
"28/11/2025 18:00:00 - 28/11/2025 18:15:00","BZN|NL","Without Sequence","100.16","",""
"28/11/2025 18:15:00 - 28/11/2025 18:30:00","BZN|NL","Without Sequence","94.48","",""
"28/11/2025 18:30:00 - 28/11/2025 18:45:00","BZN|NL","Without Sequence","94.48","",""
"28/11/2025 18:45:00 - 28/11/2025 19:00:00","BZN|NL","Without Sequence","77.00","",""
"28/11/2025 19:00:00 - 28/11/2025 19:15:00","BZN|NL","Without Sequence","102.22","",""
"28/11/2025 19:15:00 - 28/11/2025 19:30:00","BZN|NL","Without Sequence","94.71","",""
"28/11/2025 19:30:00 - 28/11/2025 19:45:00","BZN|NL","Without Sequence","90.22","",""
"28/11/2025 19:45:00 - 28/11/2025 20:00:00","BZN|NL","Without Sequence","80.70","",""
"28/11/2025 20:00:00 - 28/11/2025 20:15:00","BZN|NL","Without Sequence","100.95","",""
"28/11/2025 20:15:00 - 28/11/2025 20:30:00","BZN|NL","Without Sequence","85.83","",""
"28/11/2025 20:30:00 - 28/11/2025 20:45:00","BZN|NL","Without Sequence","82.94","",""
"28/11/2025 20:45:00 - 28/11/2025 21:00:00","BZN|NL","Without Sequence","74.16","",""
"28/11/2025 21:00:00 - 28/11/2025 21:15:00","BZN|NL","Without Sequence","89.27","",""
"28/11/2025 21:15:00 - 28/11/2025 21:30:00","BZN|NL","Without Sequence","87.18","",""
"28/11/2025 21:30:00 - 28/11/2025 21:45:00","BZN|NL","Without Sequence","83.88","",""
"28/11/2025 21:45:00 - 28/11/2025 22:00:00","BZN|NL","Without Sequence","73.01","",""
"28/11/2025 22:00:00 - 28/11/2025 22:15:00","BZN|NL","Without Sequence","89.50","",""
"28/11/2025 22:15:00 - 28/11/2025 22:30:00","BZN|NL","Without Sequence","83.57","",""
"28/11/2025 22:30:00 - 28/11/2025 22:45:00","BZN|NL","Without Sequence","87.00","",""
"28/11/2025 22:45:00 - 28/11/2025 23:00:00","BZN|NL","Without Sequence","75.85","",""
"28/11/2025 23:00:00 - 28/11/2025 23:15:00","BZN|NL","Without Sequence","84.18","",""
"28/11/2025 23:15:00 - 28/11/2025 23:30:00","BZN|NL","Without Sequence","76.24","",""
"28/11/2025 23:30:00 - 28/11/2025 23:45:00","BZN|NL","Without Sequence","75.08","",""
"28/11/2025 23:45:00 - 29/11/2025 00:00:00","BZN|NL","Without Sequence","71.24","",""
