Simulation Data Metadata Line
time;load;actions
2026-01-01 00:00:00;0.5;"[['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]]]"
2026-01-01 00:15:00;0.6;"[['pv', [1, 0, 0]], ['cons', [0, 1, 0]], ['pv', [0, 0, 1]], ['cons', [1, 1, 1]], ['pv', [1, 0, 1]]]"
2026-01-01 00:30:00;0.7;"[['pv', [1, 1, 0]], ['cons', [0, 1, 1]], ['pv', [1, 0, 1]], ['cons', [1, 0, 1]], ['pv', [1, 1, 1]]]"
2026-01-01 00:45:00;0.8;"[['pv', [1, 1, 1]], ['cons', [1, 1, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]], ['pv', [1, 1, 1]]]"
2026-01-01 01:00:00;0.9;"[['cons', [0, 0, 0]], ['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]], ['cons', [0, 0, 0]]]"
2026-01-01 01:15:00;1.0;"[['pv', [1, 0, 0]], ['cons', [0, 1, 0]], ['pv', [0, 0, 1]], ['cons', [1, 1, 0]], ['pv', [1, 0, 1]]]"
2026-01-01 01:30:00;1.1;"[['cons', [0, 1, 1]], ['pv', [1, 1, 0]], ['cons', [0, 1, 1]], ['pv', [1, 0, 0]], ['cons', [0, 1, 0]]]"
2026-01-01 01:45:00;1.2;"[['pv', [1, 1, 1]], ['cons', [0, 0, 0]], ['pv', [1, 1, 1]], ['cons', [0, 0, 0]], ['pv', [1, 1, 1]]]"
2026-01-01 02:00:00;1.3;"[['cons', [1, 1, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]]]"
2026-01-01 02:15:00;1.4;"[['pv', [0, 0, 1]], ['cons', [1, 0, 0]], ['pv', [0, 1, 0]], ['cons', [0, 0, 1]], ['pv', [1, 0, 0]]]"
2026-01-01 02:30:00;1.5;"[['cons', [1, 0, 0]], ['pv', [0, 1, 0]], ['cons', [0, 0, 1]], ['pv', [1, 1, 0]], ['cons', [1, 0, 1]]]"
2026-01-01 02:45:00;1.4;"[['pv', [0, 1, 1]], ['cons', [1, 1, 0]], ['pv', [0, 1, 1]], ['cons', [1, 1, 0]], ['pv', [0, 1, 1]]]"
2026-01-01 03:00:00;1.3;"[['cons', [1, 0, 1]], ['pv', [1, 1, 1]], ['cons', [0, 0, 0]], ['pv', [1, 1, 1]], ['cons', [1, 0, 1]]]"
2026-01-01 03:15:00;1.2;"[['pv', [0, 1, 0]], ['cons', [1, 0, 0]], ['pv', [0, 1, 1]], ['cons', [0, 0, 0]], ['pv', [1, 1, 0]]]"
2026-01-01 03:30:00;1.1;"[['cons', [1, 0, 0]], ['pv', [0, 1, 0]], ['cons', [0, 0, 1]], ['pv', [1, 1, 1]], ['cons', [1, 0, 1]]]"
2026-01-01 03:45:00;1.0;"[['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]]]"
2026-01-01 04:00:00;0.9;"[['cons', [1, 1, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]]]"
2026-01-01 04:15:00;0.8;"[['pv', [0, 1, 0]], ['cons', [0, 1, 0]], ['pv', [0, 1, 0]], ['cons', [0, 1, 0]], ['pv', [0, 1, 0]]]"
2026-01-01 04:30:00;0.7;"[['cons', [1, 0, 0]], ['pv', [0, 1, 0]], ['cons', [0, 0, 1]], ['pv', [1, 1, 1]], ['cons', [1, 1, 1]]]"
2026-01-01 04:45:00;0.6;"[['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]], ['cons', [0, 0, 0]], ['pv', [0, 0, 0]]]"
