Load_data
time,Area,Actual Total Load (MW),Day-ahead Total Load Forecast (MW)
2025-11-26 00:00:00,Netherlands (NL),0.2429274,11613.69
2025-11-26 00:15:00,Netherlands (NL),0.2428936,11469.51
2025-11-26 00:30:00,Netherlands (NL),0.242346,11318.0
2025-11-26 00:45:00,Netherlands (NL),0.239378,11194.44
2025-11-26 01:00:00,Netherlands (NL),0.2365238,11065.78
2025-11-26 01:15:00,Netherlands (NL),0.2350214,10978.83
2025-11-26 01:30:00,Netherlands (NL),0.2327646,10893.92
2025-11-26 01:45:00,Netherlands (NL),0.2300078,10814.13
2025-11-26 02:00:00,Netherlands (NL),0.228467,10779.33
2025-11-26 02:15:00,Netherlands (NL),0.228899,10744.34
2025-11-26 02:30:00,Netherlands (NL),0.2299558,10689.0
2025-11-26 02:45:00,Netherlands (NL),0.230373,10648.37
2025-11-26 03:00:00,Netherlands (NL),0.2303806,10608.37
2025-11-26 03:15:00,Netherlands (NL),0.2303158,10624.87
2025-11-26 03:30:00,Netherlands (NL),0.2296308,10594.87
2025-11-26 03:45:00,Netherlands (NL),0.2300772,10575.41
2025-11-26 04:00:00,Netherlands (NL),0.231883,10622.62
2025-11-26 04:15:00,Netherlands (NL),0.2329866,10647.5
2025-11-26 04:30:00,Netherlands (NL),0.2332414,10677.46
2025-11-26 04:45:00,Netherlands (NL),0.2344418,10686.64
2025-11-26 05:00:00,Netherlands (NL),0.236844,10708.63
2025-11-26 05:15:00,Netherlands (NL),0.2396996,10746.32
2025-11-26 05:30:00,Netherlands (NL),0.2419524,10841.53
2025-11-26 05:45:00,Netherlands (NL),0.2441924,10961.66
2025-11-26 06:00:00,Netherlands (NL),0.245868,11195.58
2025-11-26 06:15:00,Netherlands (NL),0.2493428,11566.91
2025-11-26 06:30:00,Netherlands (NL),0.2544744,11875.68
2025-11-26 06:45:00,Netherlands (NL),0.259918,12198.34
2025-11-26 07:00:00,Netherlands (NL),0.267737,12509.67
2025-11-26 07:15:00,Netherlands (NL),0.2760122,12831.27
2025-11-26 07:30:00,Netherlands (NL),0.2821832,13170.23
2025-11-26 07:45:00,Netherlands (NL),0.290239,13465.17
2025-11-26 08:00:00,Netherlands (NL),0.2970492,13804.64
2025-11-26 08:15:00,Netherlands (NL),0.302383,14138.75
2025-11-26 08:30:00,Netherlands (NL),0.3023936,14337.96
2025-11-26 08:45:00,Netherlands (NL),0.3012752,14370.61
2025-11-26 09:00:00,Netherlands (NL),0.3032916,14300.51
2025-11-26 09:15:00,Netherlands (NL),0.3028386,14190.35
2025-11-26 09:30:00,Netherlands (NL),0.3020912,14113.15
2025-11-26 09:45:00,Netherlands (NL),0.2978422,14079.48
2025-11-26 10:00:00,Netherlands (NL),0.2951094,13970.06
2025-11-26 10:15:00,Netherlands (NL),0.2941278,13708.8
2025-11-26 10:30:00,Netherlands (NL),0.2905268,13513.12
2025-11-26 10:45:00,Netherlands (NL),0.2851232,13420.93
2025-11-26 11:00:00,Netherlands (NL),0.2794666,13303.85
2025-11-26 11:15:00,Netherlands (NL),0.2743602,13194.1
