date,Justice_Controller.hub_state,Justice_Controller.usage_rate,Justice_Controller.recommendations,Justice_Controller.capabilities,Neighborhood_A.consumption,Neighborhood_A.production,Neighborhood_A.response,Neighborhood_A.sum_consumption,Neighborhood_A.sum_production
2012-01-01,Inequality,3.1325301204819276,"[['Reduce consumption', [0.5, 0.5, 1.0], 1.0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Flexible Consumption', [0.5, 1.0, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['high', 'high', 'high', 'high', 'high']","[175.0, 16.8, 137.2, 7.0, 28.0]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",364.0,116.2
2012-01-16 00:00:00,Inequality,3.131325301204819,"[['Efficiency / infrastructure support', [0.5, 1.0, 0.5], 0.5], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Flexible Consumption', [0.5, 1.0, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['low', 'high', 'high', 'high', 'high']","[175.0, 19.32, 130.34, 8.68, 30.52]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[0, 1], [1, 1], [1, 1], [1, 1], [1, 1]]",363.86,116.2
2012-01-31 00:00:00,Inequality,3.06644578313253,"[['Efficiency / infrastructure support', [0.5, 1.0, 0.5], 0.5], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Flexible Consumption', [0.5, 1.0, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['low', 'high', 'high', 'high', 'high']","[166.25, 22.218, 123.823, 10.7632, 33.2668]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[1, 2], [2, 2], [2, 2], [2, 2], [2, 2]]",356.32,116.2
2012-02-15 00:00:00,Inequality,3.018306368330465,"[['Receive Penalty', [1.0, 0.5, 0.5], 0.5], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['high', 'high', 'high', 'high', 'high']","[157.9375, 25.5507, 117.6318, 13.3464, 36.2608]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 3], [3, 3], [3, 3], [3, 3], [3, 3]]",350.73,116.2
2012-03-01 00:00:00,Inequality,3.1069397590361443,"[['Receive Penalty', [1.0, 0.5, 0.5], 0.5], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['high', 'high', 'high', 'high', 'high']","[157.9375, 29.3833, 117.6318, 16.5495, 39.5243]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 4], [4, 4], [3, 3], [4, 4], [4, 4]]",361.03,116.2
2012-03-16 00:00:00,Inequality,3.209664371772805,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 33.7908, 117.6318, 20.5214, 43.0815]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 5], [5, 5], [3, 3], [5, 5], [5, 5]]",372.96,116.2
2012-03-31 00:00:00,Inequality,3.329036144578313,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 38.8594, 117.6318, 25.4465, 46.9588]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 6], [6, 6], [3, 3], [6, 6], [6, 6]]",386.83,116.2
2012-04-15 00:00:00,Inequality,3.4499414802065402,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 44.6883, 117.6318, 31.5537, 49.0719]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 7], [7, 7], [3, 3], [7, 7], [7, 7]]",400.88,116.2
2012-04-30 00:00:00,Inequality,3.591802925989673,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['No action', [0, 0, 0], 0], ['Encourage beneficial electrification', [0.5, 0.5, 1.0], 0.3], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 51.3915, 117.6318, 39.1266, 51.2801]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 8], [8, 8], [3, 3], [8, 8], [8, 8]]",417.37,116.2
2012-05-15 00:00:00,Inequality,3.692474182444062,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['No action', [0, 0, 0], 0], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 51.3915, 117.6318, 48.517, 53.5877]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 9], [8, 9], [3, 3], [9, 9], [9, 9]]",429.07,116.2
2012-05-30 00:00:00,Inequality,3.713226333907057,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['No action', [0, 0, 0], 0], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 51.3915, 117.6318, 48.517, 55.9991]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 10], [8, 10], [3, 3], [9, 10], [10, 10]]",431.48,116.2
2012-06-14 00:00:00,Inequality,3.734913080895008,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['No action', [0, 0, 0], 0], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 51.3915, 117.6318, 48.517, 58.5191]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 11], [8, 11], [3, 3], [9, 11], [11, 11]]",434.0,116.2
2012-06-29 00:00:00,Inequality,3.7575757314974183,"[['Flexibility-enabling upgrade', [0.5, 0.5, 0.5], 0.25], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['No action', [0, 0, 0], 0], ['Incentive w', [1.0, 0.5, 0.5], 0.15], ['Incentive w', [1.0, 0.5, 0.5], 0.15]]","['low', 'high', 'high', 'high', 'high']","[157.9375, 51.3915, 117.6318, 48.517, 61.1525]","[11.2, 35.0, 42.0, 21.0, 7.0]","[[2, 12], [8, 12], [3, 3], [9, 12], [12, 12]]",436.63,116.2
